Запрос,Частотность в мес.,Частотность в нед.,"Изменение мес/мес, %","Изменение нед/нед, %",Приоритетная категория,1 место,2 место,3 место,4 место,5 место,"Объем продаж категории, руб"
﻿кроссовки женские,6 349 062
платье женское,5 388 643,,,,(ID) 69 - Платье,1000,1000,1000,1000,1000,
джинсы женские,4 518 303,,,,(ID) 180 - Джинсы,1303,1303,1303,1303,1303,
футболка женская,4 037 644,,,,(ID) 192 - Футболка,453,453,453,453,453,
куртка женская весна,3 991 246,,,,(ID) 168 - Куртка,1507,1507,1507,1507,1507,
сумка женская,3 658 797,,,,(ID) 50 - Сумка,755,755,755,755,755,
кроссовки мужские,3 464 242,,,,(ID) 105 - Кроссовки,417,417,417,417,417,
кроссовки,2 616 520,,,,(ID) 105 - Кроссовки,584,584,584,584,584,
befree,2 291 377
топ женский,2 234 888,,,,(ID) 185 - Топ,707,707,707,707,707,
платье,2 227 656,,,,(ID) 69 - Платье,801,801,801,801,801,
чехол на iphone 11,2 193 039,,,,(ID) 390 - Чехол для телефона,360,360,360,360,360,
трусы женские,2 168 538,,,,(ID) 133 - Трусы Женские,4507,4507,4507,4507,4507,
джинсы,2 149 196,,,,(ID) 180 - Джинсы,3194,3194,3194,3194,3194,
твое,2 140 064
zarina,2 123 285
спортивный костюм женский,2 024 052,,,,(ID) 4853 - Спортивный Костюм Женский,611,611,611,611,611,
рубашка женская,2 016 023
футболка мужская,1 992 617,,,,(ID) 192 - Футболка Мужская,695,695,695,695,695,
пижама женская,1 964 570
топ,1 927 791,,,,(ID) 185 - Топ,555,555,555,555,555,
брюки женские,1 926 344
gloria jeans,1 901 066
лонгслив женский,1 837 201,,,,(ID) 217 - Лонгслив,1400,1400,1400,1400,1400,
костюм женский,1 836 079,,,,(ID) 177 - Костюм,2215,2215,2215,2215,2215,
туфли женские,1 792 664,,,,(ID) 100 - Туфли,451,451,451,451,451,
блузка женская,1 730 115,,,,(ID) 41 - Блузка,1266,1266,1266,1266,1266,
adidas,1 696 775
юбка женская,1 634 588
футболка,1 620 902,,,,(ID) 192 - Футболка,586,586,586,586,586,
лоферы женские,1 542 476,,,,(ID) 1664 - Лоферы,679,679,679,679,679,
кофта женская,1 514 857,,,,(ID) 161 - Кофта,1000,1000,1000,1000,1000,
купальник женский,1 478 192,,,,(ID) 89 - Раздельный купальник,731,731,731,731,731,
zara,1 459 228
наушники беспроводные,1 412 744,,,,(ID) 593 - Наушники,4479,4479,4479,4479,4479,
картина по номерам,1 400 540,,,,(ID) 4144 - Картина По Номерам,530,530,530,530,530,
nike,1 398 793
пальто женское весна,1 397 478,,,,(ID) 170 - Пальто,1800,1800,1800,1800,1800,
ботинки женские весна,1 389 485,,,,(ID) 94 - Ботинки,504,504,504,504,504,
шорты женские,1 376 026,,,,(ID) 151 - Шорты,1088,1088,1088,1088,1088,
love republic,1 367 183
сумка,1 354 299,,,,(ID) 50 - Сумка,765,765,765,765,765,
лонгслив,1 333 967,,,,(ID) 217 - Лонгслив,838,838,838,838,838,
косметика,1 330 375,,,,(ID) 360 - Маска косметическая,180,180,180,180,180,
пальто женское,1 295 567,,,,(ID) 170 - Пальто,1137,1137,1137,1137,1137,
босоножки женские,1 287 994,,,,(ID) 93 - Босоножки,382,382,382,382,382,
пиджак женский,1 281 447,,,,(ID) 149 - Пиджак,1013,1013,1013,1013,1013,
кеды женские,1 278 986,,,,(ID) 104 - Кеды Женские,555,555,555,555,555,
футболка оверсайз,1 255 973,,,,(ID) 192 - Футболка Оверсайз,3971,3971,3971,3971,3971,
постельное белье,1 226 040,,,,(ID) 197 - Постельное белье,689,689,689,689,689,
носки женские,1 223 655,,,,(ID) 212 - Носки Женские,4006,4006,4006,4006,4006,
сумка женская через плечо,1 208 329,,,,(ID) 50 - Сумка,3602,3602,3602,3602,3602,
худи,1 167 157,,,,(ID) 1724 - Худи,703,703,703,703,703,
очки солнцезащитные женские,1 122 440,,,,(ID) 59 - Очки Солнцезащитные Женские,329,329,329,329,329,
купальник,1 101 726,,,,(ID) 89 - Раздельный купальник,730,730,730,730,730,
серьги,1 095 847,,,,(ID) 207 - Ювелирные серьги,1249,1249,1249,1249,1249,
жилетка женская,1 085 064,,,,(ID) 156 - Жилет,602,602,602,602,602,
боди женское,1 075 916,,,,(ID) 75 - Боди,1157,1157,1157,1157,1157,
bershka,1 073 508
mango,1 070 175
юбка,1 053 701,,,,(ID) 38 - Юбка,1407,1407,1407,1407,1407,
sela,1 039 937
джинсы мужские,1 036 599,,,,(ID) 180 - Джинсы,1961,1961,1961,1961,1961,
бомбер женский,1 031 735,,,,(ID) 1635 - Бомбер Женский,943,943,943,943,943,
рюкзак женский,1 031 275,,,,(ID) 138 - Рюкзак,4017,4017,4017,4017,4017,
шорты,972 390,,,,(ID) 151 - Шорты,701,701,701,701,701,
куртка женская,968 789,,,,(ID) 168 - Куртка,1505,1505,1505,1505,1505,
платье летнее,966 397,,,,(ID) 69 - Платье,972,972,972,972,972,
чехол на iphone 13,933 452,,,,(ID) 390 - Чехол для телефона,814,814,814,814,814,
консилер,928 877
кепка,916 835,,,,(ID) 84 - Бейсболка,396,396,396,396,396,
блеск для губ,916 760,,,,(ID) 349 - Блеск Для Губ,266,266,266,266,266,
ветровка женская,899 139,,,,(ID) 172 - Ветровка,576,576,576,576,576,
платье для девочки,898 323,,,,(ID) 69 - Платье,972,972,972,972,972,
костюм спортивный женский,889 075,,,,(ID) 4853 - Костюм Спортивный Женский,600,600,600,600,600,
тушь для ресниц,883 511
очки,866 617,,,,(ID) 59 - Солнцезащитные очки,450,450,450,450,450,
кардиган женский,855 684,,,,(ID) 191 - Кардиган Женский,702,702,702,702,702,
кроссовки для мальчика,854 718,,,,(ID) 105 - Кроссовки,508,508,508,508,508,
очки солнцезащитные,853 981,,,,(ID) 59 - Очки Солнцезащитные,450,450,450,450,450,
наушники,850 151,,,,(ID) 593 - Наушники,1646,1646,1646,1646,1646,
zolla,849 749
свитшот женский,842 018,,,,(ID) 159 - Свитшот,1000,1000,1000,1000,1000,
шторы,835 009,,,,(ID) 451 - Шторы интерьерные,1932,1932,1932,1932,1932,
трусы мужские,834 161,,,,(ID) 133 - Трусы Мужские,1308,1308,1308,1308,1308,
косметичка,823 013,,,,(ID) 305 - Косметичка,954,954,954,954,954,
куртка,818 682,,,,(ID) 2110 - Косуха,1126,1126,1126,1126,1126,
боди,818 589,,,,(ID) 75 - Боди,1157,1157,1157,1157,1157,
свитшот,818 342,,,,(ID) 159 - Свитшот,1000,1000,1000,1000,1000,
платье вечернее,817 162,,,,(ID) 69 - Платье,1061,1061,1061,1061,1061,
телефон,816 392,,,,(ID) 515 - Смартфон,420,420,420,420,420,
xiaomi,816 052
пальто,802 624,,,,(ID) 170 - Пальто,1140,1140,1140,1140,1140,
брюки,799 045,,,,(ID) 11 - Брюки,1431,1431,1431,1431,1431,
спортивный костюм мужской,792 372,,,,(ID) 4853 - Спортивный Костюм Мужской,725,725,725,725,725,
сумка через плечо,788 545,,,,(ID) 50 - Сумка,1500,1500,1500,1500,1500,
халат женский,784 448,,,,(ID) 2803 - Халат домашний,1077,1077,1077,1077,1077,
ботинки женские,782 597
обувь женская,776 067,,,,(ID) 105 - Кроссовки,350,350,350,350,350,
постельное белье 2 спальное,775 976,,,,(ID) 197 - Постельное Белье 2 Спальное,1705,1705,1705,1705,1705,
носки,774 613,,,,(ID) 212 - Носки,4006,4006,4006,4006,4006,
платье женское летнее,764 467,,,,(ID) 69 - Платье,969,969,969,969,969,
пижама,754 380,,,,(ID) 162 - Пижама,2049,2049,2049,2049,2049,
алмазная мозаика,753 523,,,,(ID) 6422 - Алмазная Мозаика,207,207,207,207,207,
шампунь для волос,749 523,,,,(ID) 358 - Шампунь,0,0,0,0,0,
zara женское,748 642
лоферы,748 274,,,,(ID) 1664 - Лоферы,589,589,589,589,589,
нижнее белье женское комплект,744 714,,,,(ID) 165 - Комплект белья,1102,1102,1102,1102,1102,
рюкзак,742 771,,,,(ID) 138 - Рюкзак,1450,1450,1450,1450,1450,
лампа для маникюра,739 008,,,,(ID) 805 - Лампа Для Маникюра,1000,1000,1000,1000,1000,
тренч женский,738 801,,,,(ID) 193 - Тренчкот,1500,1500,1500,1500,1500,
худи женское,737 997,,,,(ID) 1724 - Худи,700,700,700,700,700,
шорты мужские,725 632,,,,(ID) 151 - Шорты,692,692,692,692,692,
