Запрос,Частотность в мес.,Частотность в нед.,"Изменение мес/мес, %","Изменение нед/нед, %",Приоритетная категория,1 место,2 место,3 место,4 место,5 место,"Объем продаж категории, руб"
﻿кроссовки женские,6 414 114,1 525 299
платье женское,5 308 624,1 075 258,,,(ID) 69 - Платье,622,621,620,600,512,
джинсы женские,4 503 782,946 379,,,(ID) 180 - Джинсы,1112,1111,1110,650,563,
футболка женская,4 051 510,963 668,,,(ID) 192 - Футболка Женская,401,400,219,180,138,
куртка женская весна,3 935 593,543 122,,,(ID) 168 - Куртка,1349,1349,1348,1347,1346,
сумка женская,3 595 582,704 690,,,(ID) 50 - Сумка,792,790,690,653,600,
кроссовки мужские,3 492 456,821 652,,,(ID) 105 - Кроссовки,307,306,300,292,215,
кроссовки,2 643 858,660 037,,,(ID) 105 - Кроссовки,400,300,300,292,215,
befree,2 271 397,466 911
топ женский,2 226 220,494 199,,,(ID) 185 - Топ,500,471,471,470,461,
платье,2 197 472,470 039,,,(ID) 69 - Платье,602,602,601,600,511,
чехол на iphone 11,2 160 991,439 479,,,(ID) 390 - Чехол для телефона,1005,431,430,430,321,
трусы женские,2 135 751,443 190,,,(ID) 133 - Трусы Женские,4599,1956,1956,1956,1956,
джинсы,2 128 929,442 008,,,(ID) 180 - Джинсы,1500,1000,800,600,600,
твое,2 120 272,413 462
zarina,2 096 233,413 181
спортивный костюм женский,2 020 976,458 364,,,(ID) 4853 - Спортивный Костюм Женский,504,502,501,501,500,
рубашка женская,1 999 915,406 305,,,(ID) 184 - Рубашка,1201,930,665,661,609,
футболка мужская,1 994 307,461 128,,,(ID) 192 - Футболка Мужская,3000,914,913,698,459,
брюки женские,1 917 223,411 700,,,(ID) 11 - Брюки Женские,1608,1402,1401,1284,903,
топ,1 911 838,407 822,,,(ID) 185 - Топ,471,471,470,460,455,
пижама женская,1 890 670,340 645,,,(ID) 162 - Пижама Женская,1981,1231,1211,1158,1158,
gloria jeans,1 881 615,418 056
костюм женский,1 822 535,385 256
лонгслив женский,1 819 608,374 792,,,(ID) 217 - Лонгслив,803,801,800,785,660,
туфли женские,1 789 636,387 496,,,(ID) 100 - Туфли,451,363,362,357,351,
блузка женская,1 706 219,350 867,,,(ID) 41 - Блузка,708,703,702,701,700,
adidas,1 690 527,373 415
юбка женская,1 620 520,332 796,,,(ID) 38 - Юбка Женская,652,651,650,632,631,
футболка,1 603 343,325 418,,,(ID) 192 - Футболка,653,556,556,555,555,
лоферы женские,1 558 015,369 619,,,(ID) 1664 - Лоферы,585,584,584,432,431,
кофта женская,1 494 011,282 479,,,(ID) 161 - Кофта,1012,1000,1000,319,318,
купальник женский,1 476 362,343 789,,,(ID) 89 - Раздельный купальник,651,650,649,640,640,
zara,1 435 495,275 839
nike,1 400 656,289 191
наушники беспроводные,1 395 789,304 292,,,(ID) 593 - Наушники,1464,1463,1462,1461,1440,
шорты женские,1 378 252,332 772
картина по номерам,1 363 880,253 291,,,(ID) 4144 - Картина По Номерам,560,451,450,412,410,
пальто женское весна,1 358 137,150 465,,,(ID) 170 - Пальто,1301,1300,1187,1185,1185,
ботинки женские весна,1 351 683,156 552,,,(ID) 94 - Ботинки,508,506,506,504,491,
love republic,1 348 746,280 290
сумка,1 331 748,273 959,,,(ID) 50 - Сумка,750,552,413,355,351,
лонгслив,1 321 985,278 355,,,(ID) 217 - Лонгслив,814,800,701,551,500,
босоножки женские,1 299 138,323 199,,,(ID) 93 - Босоножки,400,394,393,376,376,
