Запрос,Частотность в мес.,Частотность в нед.,"Изменение мес/мес, %","Изменение нед/нед, %",Приоритетная категория,1 место,2 место,3 место,4 место,5 место,"Объем продаж категории, руб"
﻿кроссовки женские,6 414 114,1 525 299
платье женское,5 308 624,1 075 258,,,(ID) 69 - Платье,1008,441,439,402,400,
джинсы женские,4 503 782,946 379,,,(ID) 180 - Джинсы,851,851,850,850,850,
футболка женская,4 051 510,963 668
куртка женская весна,3 935 593,543 122,,,(ID) 168 - Куртка,1305,1008,1007,1005,1004,
сумка женская,3 595 582,704 690,,,(ID) 50 - Сумка,690,600,512,511,510,
кроссовки мужские,3 492 456,821 652,,,(ID) 105 - Кроссовки,351,350,350,300,300,
кроссовки,2 643 858,660 037,,,(ID) 105 - Кроссовки,500,400,400,350,350,
befree,2 271 397,466 911
топ женский,2 226 220,494 199,,,(ID) 185 - Топ,851,707,506,505,451,
платье,2 197 472,470 039
чехол на iphone 11,2 160 991,439 479,,,(ID) 390 - Чехол для телефона,1005,128,59,57,56,
трусы женские,2 135 751,443 190,,,(ID) 133 - Трусы Женские,4595,4595,1914,1913,702,
джинсы,2 128 929,442 008,,,(ID) 180 - Джинсы,850,800,501,303,302,
твое,2 120 272,413 462
zarina,2 096 233,413 181
спортивный костюм женский,2 020 976,458 364,,,(ID) 4853 - Спортивный Костюм Женский,610,601,600,504,503,
рубашка женская,1 999 915,406 305,,,(ID) 184 - Рубашка,801,661,593,420,410,
футболка мужская,1 994 307,461 128,,,(ID) 192 - Футболка Мужская,914,913,701,461,461,
брюки женские,1 917 223,411 700,,,(ID) 11 - Брюки Женские,900,800,799,772,701,
топ,1 911 838,407 822,,,(ID) 185 - Топ,651,506,505,450,384,
пижама женская,1 890 670,340 645,,,(ID) 162 - Пижама Женская,1994,1003,1002,807,701,
gloria jeans,1 881 615,418 056
костюм женский,1 822 535,385 256,,,(ID) 177 - Костюм,2214,507,505,505,505,
лонгслив женский,1 819 608,374 792,,,(ID) 217 - Лонгслив,627,627,626,607,560,
туфли женские,1 789 636,387 496,,,(ID) 100 - Туфли,451,357,350,350,330,
блузка женская,1 706 219,350 867,,,(ID) 41 - Блузка,651,612,611,607,606,
adidas,1 690 527,373 415
юбка женская,1 620 520,332 796,,,(ID) 38 - Юбка Женская,740,580,537,503,503,
футболка,1 603 343,325 418
лоферы женские,1 558 015,369 619,,,(ID) 1664 - Лоферы,965,567,566,566,561,
кофта женская,1 494 011,282 479
купальник женский,1 476 362,343 789,,,(ID) 89 - Раздельный купальник,750,700,600,600,600,
zara,1 435 495,275 839
nike,1 400 656,289 191
наушники беспроводные,1 395 789,304 292,,,(ID) 593 - Наушники,1494,1492,1441,1440,1035,
шорты женские,1 378 252,332 772,,,(ID) 151 - Шорты,310,309,309,305,303,
картина по номерам,1 363 880,253 291,,,(ID) 4144 - Картина По Номерам,414,413,412,411,410,
пальто женское весна,1 358 137,150 465,,,(ID) 170 - Пальто,1145,1142,1141,1140,1140,
ботинки женские весна,1 351 683,156 552
love republic,1 348 746,280 290
сумка,1 331 748,273 959,,,(ID) 50 - Сумка,910,790,750,552,300,
лонгслив,1 321 985,278 355,,,(ID) 217 - Лонгслив,551,550,466,465,405,
босоножки женские,1 299 138,323 199,,,(ID) 93 - Босоножки,410,401,400,376,376,
кеды женские,1 296 361,315 175,,,(ID) 104 - Кеды Женские,454,257,256,254,250,
косметика,1 284 968,229 820,,,(ID) 360 - Маска косметическая,458,457,180,155,55,
пиджак женский,1 269 735,269 515,,,(ID) 149 - Пиджак,505,504,504,503,503,
пальто женское,1 260 188,155 306,,,(ID) 170 - Пальто,1213,1146,1145,1142,1141,
футболка оверсайз,1 245 005,278 306,,,(ID) 192 - Футболка Оверсайз,7801,462,461,460,326,
постельное белье,1 212 086,281 479,,,(ID) 197 - Постельное белье,514,513,513,512,512,
носки женские,1 208 942,265 742,,,(ID) 212 - Носки Женские,1104,1103,909,909,907,
сумка женская через плечо,1 176 144,180 197,,,(ID) 50 - Сумка,894,890,890,791,790,
худи,1 150 655,234 367,,,(ID) 1724 - Худи,623,526,373,372,371,
очки солнцезащитные женские,1 138 756,245 402,,,(ID) 59 - Очки Солнцезащитные Женские,352,341,302,302,302,
жилетка женская,1 116 721,324 553,,,(ID) 156 - Жилет,368,366,362,361,360,
купальник,1 093 455,241 640,,,(ID) 89 - Раздельный купальник,693,600,600,600,600,
серьги,1 067 691,216 271,,,(ID) 207 - Ювелирные серьги,1299,1299,532,531,530,
mango,1 061 852,223 406
